EventID,Rec_Level,Event_Class,Primary,Gen_LogE,Gen_CosZenith,Gen_Xmax,Gen_dEdXmax,Gen_SDPPhi,Gen_SDPTheta,Gen_Chi0,Gen_Rp,Gen_T0,Gen_CoreEyeDist,Gen_CherenkovFraction,Rec_LogE,Rec_CosZenith,Rec_Xmax,Rec_dEdXmax,Rec_SDPPhi,Rec_SDPTheta,Rec_Chi0,Rec_Rp,Rec_T0,Rec_CoreEyeDist,Rec_CherenkovFraction,Pixel_Start,Pixel_End
Batch_300001788:Shower_467,10,1,2212,16.2287,0.510597,726.948,0.0209331,-1.46458,0.795983,2.34502,1381.12,28983.9,1931.73,89.525,16.2433,0,792.671,0.0228397,-1.4927,0.784086,2.33464,1387.51,28955.9,1922.63,92.743,0,62
Batch_300001788:Shower_493,10,1,2212,16.2287,0.510351,726.948,0.0209331,-0.767134,1.69863,2.60049,1755.55,29973.2,3408.29,75.428,16.2831,0,761.644,0.0251467,-0.771776,1.69562,2.60213,1761.13,29972.5,3428.46,84.2353,62,93
Batch_300001788:Shower_5271,10,1,26056,16.5267,0.865692,563.361,0.0479584,-2.95388,1.36987,1.08292,1778.71,28954.3,2013.65,63.5019,16.5571,0,572.489,0.0505268,-2.98343,1.39507,1.08912,1830.95,28893.2,2065.43,66.6721,93,135
Batch_300001212:Shower_864,10,1,7014,16.0694,0.809692,640.834,0.0173095,1.83175,1.86507,1.00832,1395.47,28974.3,1649.61,75.969,16.0841,0,751.729,0.0162035,1.87304,1.83719,1.02607,1274.91,28965,1487.24,79.6192,135,162
Batch_300001212:Shower_8457,10,4,2212,15.8265,0.635852,495.157,0.0102568,1.67584,2.22373,0.928006,993.129,29989.6,1240.75,96.8894,15.9241,0,518.118,0.011046,1.72449,2.1798,0.910937,1082.78,29964.3,1380.73,97.1661,162,198
Batch_300001212:Shower_8537,10,4,7014,15.9625,0.715394,562.499,0.0131925,2.24334,2.27,1.20747,574.435,29996.5,614.554,97.279,16.2079,0,463.678,0.0216282,2.21033,2.28432,1.22855,718.581,29979.5,770.087,97.4876,198,239
Batch_300000319:Shower_1342,10,4,26056,16.4938,0.703027,523.836,0.0416882,-0.952563,0.79839,1.76262,1141.42,29985.2,1162.75,88.7796,16.4672,0,528.076,0.0400212,-0.970446,0.799616,1.75158,1157.96,29979.8,1178.32,92.4927,239,289
Batch_300000319:Shower_2216,10,1,7014,17.1461,0.474236,626.137,0.192829,0.50552,2.51909,2.19028,3663.16,28608.1,4499.21,52.0064,17.1213,0,751.948,0.185062,0.434779,2.50246,2.27649,3522.58,28508.7,4613.06,55.9253,289,324
Batch_300000319:Shower_2356,10,4,2212,16.2548,0.657761,585.224,0.0279362,0.474198,2.40318,1.7843,739.783,29994.6,756.971,96.6958,16.2158,0,494.428,0.021681,0.444275,2.40155,1.78333,735.496,30011.4,752.506,97.7574,324,378
Batch_300000319:Shower_3796,10,1,26056,16.0857,0.909669,498.827,0.0172249,2.23007,1.80178,1.20669,890.871,28967.5,953.372,83.4725,15.7841,0,453.411,0.00828147,2.1988,1.81159,1.15369,853.007,29072,935.89,93.1097,378,395
Batch_300000319:Shower_8515,9,1,7014,16.6057,0.608715,607.994,0.0592932,-0.0965903,1.87549,2.44895,2069.53,28954.6,3240.88,58.1627,-inf,0,0,0,-0.175428,1.80498,2.54812,2195.34,28651.7,3912.44,44.73,395,415
Batch_300001364:Shower_2407,10,4,2212,15.6962,0.64754,823.987,0.00680207,2.9412,2.39053,1.2497,933.215,29990.6,983.479,90.2034,15.8916,0,791.2,0.0102659,2.88437,2.41188,1.28839,1035.14,29965.7,1075.2,94.018,415,463
Batch_300001364:Shower_6541,5,1,2212,16.2487,0.901524,809.609,0.027707,2.77993,1.39591,1.15663,645.157,29994,704.74,79.8414,-inf,0,0,0,2.82228,1.54242,2.02907,425.841,28963.6,496.114,-123,463,524
Batch_300001364:Shower_8787,5,0,2212,16.0472,0.817412,696.569,0.0154541,-1.37247,0.984913,1.76564,837.242,29991,853.389,86.9693,-inf,0,0,0,-1.36058,0.864856,2.49349,700.108,28994,1059.24,-123,524,556
Batch_300001364:Shower_8995,10,1,2212,16.0561,0.563501,602.416,0.0160517,0.407259,1.26272,2.50831,1738.01,29970.8,2936.85,78.2525,15.9052,0,609.025,0.0106718,0.385548,1.24548,2.49373,1540.12,30036.5,2555.13,88.6582,556,592
Batch_300001292:Shower_6140,10,4,2212,16.015,0.86506,596.472,0.0157001,-2.71999,1.35819,1.08636,747.499,29992,844.692,89.2421,16.0655,0,602.683,0.0157715,-2.70474,1.34663,1.0901,770.087,29987.1,868.194,93.4373,592,642
Batch_300001292:Shower_7968,10,0,2004,16.6678,0.903246,654.087,0.0712889,-2.73875,1.88355,1.25077,1463.24,28967.6,1541.51,50.9179,16.7395,0,666.344,0.0762171,-2.74322,1.88738,1.26696,1469.68,28922.5,1539.36,49.1961,642,745
Batch_300001292:Shower_8632,5,5,7014,15.7142,0.536248,631.621,0.00651926,-0.155161,1.66039,2.57292,165.476,30000.1,307.283,99.6113,-inf,0,0,0,0.848717,2.87853,2.42695,184.077,29277,307.972,-123,745,805
Batch_300001292:Shower_9794,10,1,2212,16.3583,0.724284,585.771,0.0323565,-2.04588,0.889524,1.94005,1604.43,28968.6,1720.39,72.2801,16.2692,0,714.538,0.0246872,-2.01235,0.892109,1.9774,1383.8,28986.6,1509.27,84.7564,805,824
Batch_300000500:Shower_1378,5,4,2004,15.564,0.694057,672.319,0.00542795,0.406306,2.07593,2.22541,971.337,29988.9,1224.45,91.701,-inf,0,0,0,0.376614,1.94201,2.39513,265.929,29754.5,365.613,-123,824,865
Batch_300000500:Shower_1872,3,6,2004,16.667,0.768663,648.699,0.0683158,-2.50473,1.01378,2.00817,3317.73,24897.9,3662.49,13.5034,-inf,0,0,0,-0.510529,0.00497752,0.00674668,-156.56,171.133,-nan,-123,865,869
Batch_300000500:Shower_5237,10,1,2212,16.0586,0.630895,691.143,0.0192813,1.87688,2.45838,1.60343,1489.55,28976.5,1490.34,83.4274,16.1384,0,745.195,0.0179362,1.96345,2.44419,1.54314,1472.74,28974.2,1481.45,87.9103,869,906
Batch_300000500:Shower_8048,10,0,7014,16.2121,0.762566,605.412,0.0200323,-0.893189,0.882414,1.72914,831.56,29991.9,842.096,89.7624,16.238,0,658.59,0.0237213,-0.860025,0.877232,1.76471,836.498,29973.5,848.289,91.8512,906,962
Batch_300000500:Shower_9232,5,0,2212,16.7374,0.828409,712.039,0.0910778,2.86667,2.14388,1.73852,581.952,29838.4,590.234,70.2011,-inf,0,0,0,2.83233,2.12999,1.5408,579.901,30157,589.608,-123,962,1058
Batch_300000500:Shower_9730,10,4,26056,15.7358,0.861625,484.985,0.00712693,-2.02532,1.04867,1.46186,927.588,29987.6,933.12,87.7187,15.8564,0,464.988,0.00975105,-2.04851,1.05687,1.45331,936.948,29976.6,944.168,90.3362,1058,1083
Batch_300000104:Shower_4302,10,1,2004,15.7886,0.751391,570.382,0.00912866,-1.06161,0.965978,1.98968,978.225,29988.5,1070.8,89.146,15.8589,0,708.28,0.00961521,-1.03393,0.966908,2.01509,916.153,29987.3,1014.18,93.0622,1083,1127
Batch_300000104:Shower_4315,5,4,2004,15.7886,0.751396,570.382,0.00912866,0.564698,2.09545,2.08988,709.847,29994.3,817.538,95.587,-inf,0,0,0,0.441562,2.11278,0.544647,562.144,29084.1,1029.52,-123,1127,1164
Batch_300000104:Shower_6605,10,1,7014,16.6347,0.522621,528.151,0.0637459,0.181395,1.97565,2.53616,1879.22,29968,3301.98,85.8869,16.6418,0,535.253,0.0607675,0.21226,2.00654,2.52338,1883.62,29963,3252.7,89.0579,1164,1220
Batch_300000574:Shower_3058,10,0,2004,16.8337,0.399263,607.477,0.107795,0.979446,1.77582,2.7203,2887.18,28940.2,7060.09,83.6893,17.0151,0,1085.59,0.140585,0.972248,1.76951,2.79309,2834.62,28630.3,8259.38,56.7525,1220,1272
Batch_300000439:Shower_2718,10,1,2004,15.921,0.883135,522.554,0.0118733,-3.10188,1.83781,1.15675,1285.93,29976.2,1404.63,78.9007,16.3648,0,709.235,0.0313077,-3.11923,1.85551,1.2469,1351.21,29728,1418.48,73.8617,1272,1318
Batch_300000439:Shower_4114,10,0,26056,16.8535,0.73861,583.047,0.100517,-2.60117,0.835604,1.47942,2306.99,28933.2,2316.65,57.0245,16.8069,0,655.39,0.0887667,-2.51141,0.814069,1.54072,2163.69,28986.7,2162.6,71.0615,1318,1339
Batch_300000439:Shower_4214,5,4,7014,15.3313,0.833507,518.886,0.0028779,-2.11296,1.38636,1.01189,676.85,29993.9,798.326,94.1833,-inf,0,0,0,-2.2113,1.20468,1.86295,312.626,29227.8,299.131,-123,1339,1360
Batch_300000439:Shower_4638,10,4,2004,15.6372,0.872977,574.148,0.00673535,-3.03293,1.9803,1.25851,742.715,29992,780.462,88.3648,15.7559,0,523.307,0.00771942,-3.02228,1.97511,1.25249,739.805,29999.2,779.36,94.1716,1360,1384
Batch_300000439:Shower_8459,10,1,7014,17.0734,0.493214,600.69,0.174265,0.605334,2.35027,2.37458,2045.94,29964.2,2948.09,85.7285,17.0661,0,596.4,0.161881,0.593875,2.34571,2.37931,2021.14,29984.3,2926.03,88.1312,1384,1456
Batch_300000439:Shower_9858,10,4,26056,15.9598,0.865441,531.833,0.011889,-2.84696,1.49373,1.0511,665.493,29993.7,766.722,92.3528,15.9644,0,496.785,0.0124445,-2.8429,1.48987,1.04892,658.479,29999.3,759.806,96.4272,1456,1513
Batch_300001097:Shower_2563,10,7,7014,15.7534,0.697048,523.154,0.00755625,0.983521,1.68995,2.36302,1275.87,29981.4,1816.8,86.5829,14.7772,0,733.437,0.000812462,1.07435,1.76278,2.31154,646.818,30127.6,891.338,96.8051,1513,1538
