PixelID,TelID,EyeID,Status,Charge,Theta,Phi,TimeOffset,PulseStart,PulseCentroid,PulseStop,TraceBins
333,1,5,0,79.0323,34.6949,34.3991,0,598,0,611,0.380437 8.66551 3.14213 25.2357 16.9506 16.9506 39.0441 0.380437 -35.5216 -32.7599 3.14213 25.2357 -10.6663 -2.38125 3.14213 3.14213 -5.14295 -5.14295 25.2357
334,1,5,4,932.657,35.8912,33.3164,0,598,301.461,611,-9.26629 -22.491 -4.85806 -0.44982 -13.6745 43.6325 272.861 440.374 96.5314 -0.44982 -4.85806 -4.85806 34.8161 25.9996 21.5914 21.5914 -0.44982 -4.85806 -9.26629
312,1,5,0,119.699,36.0491,35.1595,0,598,0,611,-15.1094 18.5728 70.3915 13.3909 15.9818 13.3909 47.0731 5.6181 -15.1094 -12.5185 -17.7003 -2.15471 0.436229 18.5728 10.8 -12.5185 -4.74564 8.20904 -22.8822
356,1,5,0,106.269,35.7053,31.4812,0,598,0,611,17.9106 2.56425 2.56425 -5.10892 -8.9455 -1.27234 2.56425 -16.6187 6.40083 -5.10892 2.56425 6.40083 14.074 21.7472 2.56425 21.7472 25.5837 21.7472 -5.10892
335,1,5,0,145.898,37.2518,34.0645,0,598,0,611,-1.12062 -1.12062 31.6617 8.71407 -17.5118 -30.6247 28.3834 84.1133 25.1052 25.1052 2.15761 5.43584 -24.0682 -10.9553 18.5488 2.15761 -10.9553 8.71407 2.15761
311,1,5,0,24.5587,34.8319,36.2173,0,598,0,611,1.90747 -18.5383 -12.6966 -21.4591 -9.7758 -1.01335 4.82829 25.274 7.74911 16.5116 22.3532 25.274 4.82829 -6.85498 -9.7758 -9.7758 7.74911 7.74911 -9.7758
313,1,5,0,0,37.4024,35.9413,0,598,0,611,30.1491 -0.468639 6.33531 -3.87061 -3.87061 -10.6746 -7.27259 23.3452 -20.8805 -34.4884 -24.2825 -10.6746 6.33531 -10.6746 -7.27259 -7.27259 -20.8805 -3.87061 9.73729
336,1,5,0,85.6146,38.4387,32.9295,0,599,0,607,-18.9077 -3.89389 -28.9169 -36.4238 -26.4146 -6.3962 51.1568 106.207 28.6361 -6.3962 -8.8985 13.6222 18.6268 3.61302
377,1,5,0,0,34.3403,30.7834,0,598,0,611,-10.579 -17.6316 -14.1053 -10.579 -14.1053 -17.6316 -10.579 10.579 14.1053 -14.1053 -21.158 -24.6843 14.1053 -21.158 -31.7369 -10.579 10.579 -3.52633 -3.52633
355,1,5,0,0,34.5309,32.5874,0,598,0,611,-14.3602 -14.3602 -21.9879 19.9642 35.2195 19.9642 -10.5464 -25.8017 -21.9879 -10.5464 -10.5464 -10.5464 -2.91874 -10.5464 12.3366 -10.5464 -10.5464 19.9642 23.778
358,1,5,4,883.928,38.2349,31.0348,0,600,301.859,607,9.32273 27.9999 3.09699 -9.35449 3.09699 136.95 491.818 220.998 31.1128 12.4356 -3.12875 -12.4674 -12.4674
357,1,5,4,1370.81,37.0717,32.1958,0,599,301.364,606,7.23746 22.3283 -0.307977 -0.307977 18.5556 169.464 712.736 414.691 56.2828 7.23746 -7.85342 -15.3989 -0.307977
314,1,5,0,0,38.6119,34.834,0,599,0,606,-2.70736 -19.7333 11.4809 -16.8956 -22.5709 -19.7333 -19.7333 -11.2203 39.8575 -14.058 -11.2203 0.130301 -2.70736
